direction,LOC_ID,protein_name,log2FoldChange,padj,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T001F,T002F,T003F,T004F,T005F,T006F,T008F,T009F,T010F,T011F,T012F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F
up,LOC134680676,NA,1.428,2.5e-4,5.116,5.409,5.241,6.378,5.49,5.699,5.873,5.161,5.934,5.405,5.608,5.099,5.846,5.179,5.227,5.138,5.091,5.914,5.043,5.271,5.355,5.638,5.167,5.361,5.869,5.667,5.153,6.009,4.757,6.029,5.152,5.422,5.304,5.016,5.035,4.993,5.228,5.373,5.53,5.113,5.001,5.701,5.057,4.478,5.264,4.576,4.813,4.739,4.413,5.182,4.292,5.222
up,LOC134711018,NA,1.385,1.52e-6,6.009,6.613,6.681,7.297,7.301,8.076,7.86,6.468,6.836,5.917,6.713,7.661,6.719,3.486,6.823,6.617,7.358,6.446,5.836,6.64,6.595,6.807,6.516,6.564,6.36,6.413,6.631,5.525,6.484,6.01,5.816,7.992,6.788,7.069,7.69,6.626,7.165,7.798,7.627,7.027,7.201,7.815,5.514,6.245,6.39,5.857,6.137,6.224,5.989,5.806,6.011,6.414
up,LOC134691227,NA,1.373,2.22e-8,7.379,7.901,7.238,8.102,7.212,8.092,8.714,6.252,8.027,7.959,8.888,7.428,9.166,7.033,6.224,8.11,6.8,8.176,7.675,8.128,8.77,7.944,8.251,7.316,7.825,7.255,8.927,7.397,7.666,6.672,7.649,7.126,7.389,6.776,7,5.851,6.132,6.207,5.794,6.109,6.017,6.938,6.704,6.083,7.356,6.794,6.528,6.514,6.81,6.664,6.308,6.127
up,LOC134707468,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),1.364,0.0111,5.025,5.037,4.931,5.867,5.181,5.605,5.09,4.987,4.708,4.889,4.823,4.722,4.827,4.368,5.77,4.579,4.878,4.309,5.14,4.492,4.971,4.486,4.678,4.449,4.865,3.486,4.657,5.136,4.757,6.293,3.486,4.714,4.621,3.486,3.486,5.06,4.499,3.486,4.378,4.632,5.376,5.141,3.486,4.242,4.748,4.639,3.486,4.978,4.612,3.486,4.467,4.411
up,LOC134712215,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2),1.349,8.02e-4,5.278,4.923,5.339,6.221,6.1,7.105,5.735,4.616,5.036,5.272,5.319,5.308,5.995,4.808,5.227,4.78,5.184,5.188,5.092,5.928,5.51,6.569,5.887,5.509,5.991,5.21,5.295,5.566,5.64,6.117,5.48,5.869,4.883,5.302,5.432,5.124,5.015,5.124,4.987,4.873,5.376,5.421,5.274,5.109,5.559,5.156,4.813,4.739,5.155,4.915,4.901,5.622
up,LOC134720663,NA,1.301,8.47e-7,6.03,6.58,7.246,6.686,6.582,6.72,7.056,6.343,6.48,6.052,6.577,6.568,7.372,5.923,6.246,5.694,6.229,5.64,6.454,6.776,6.157,6.264,5.483,5.949,6.666,5.264,5.971,5.566,6.229,7.657,6.913,6.796,6.891,6.611,6.598,6.435,7.005,6.762,7.426,6.688,6.606,6.82,6.152,6.083,5.457,5.9,5.474,5.767,5.84,5.399,5.453,5.319
up,LOC134707077,NA,1.296,0.0305,4.486,4.86,4.974,5.067,5.181,4.711,4.707,3.486,4.57,4.497,4.823,3.486,4.774,3.486,4.824,4.32,4.685,4.946,4.346,4.492,4.468,4.7,4.882,3.486,4.434,4.321,3.486,4.434,4.207,4.486,4.482,5.33,4.492,4.361,5.2,3.486,5.015,5.076,4.839,5.023,4.936,5.141,3.486,4.478,3.486,4.508,4.49,3.486,4.612,3.486,4.677,4.245
up,LOC134712346,Fibrinogen C domain-containing protein 1-B,1.277,0.00106,5.278,6.128,5.932,6.258,6.971,7.606,7.394,6.229,6.167,5.634,6.445,7.109,5.823,5.773,6.394,6.26,6.759,5.818,5.465,5.867,6.223,5.873,5.802,5.642,5.919,5.846,5.609,5.015,5.64,5.045,5.38,7.152,6.464,6.658,6.651,6.317,6.179,7.219,6.932,6.026,6.511,7.008,5.134,5.817,5.799,5.331,5.622,6.033,5.398,5.399,5.834,6.255
up,LOC134720746,"b(0,+)-type amino acid transporter 1 (b(0,+)AT) (4F2-LC6) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)",1.261,5.64e-6,7.893,7.34,7.724,8.704,8.753,9.135,8.103,7.151,7.422,6.596,7.196,7.411,7.795,6.459,8.315,7.129,7.479,7.037,7.464,8.391,7.387,8.327,7.572,7.024,8.449,7.417,7.578,8.004,8.207,8.691,7.746,8.922,7.257,8.196,8.422,8.178,8.27,7.724,8.04,7.648,7.496,8.012,7.246,7.165,7.662,7.064,7.084,6.871,7.104,7.092,7.221,7.601
up,LOC134686823,NA,1.236,0.0012,6.334,6.439,6.342,7.003,7.212,8.173,8.513,6.672,6.526,6.863,7.414,6.507,7.087,6.731,6.414,6.925,7.056,5.818,6.231,6.664,6.69,6.807,6.909,6.338,7.705,6.146,5.709,6.533,7.099,8.144,6.47,7.074,6.517,6.627,6.506,5.664,6.057,6.341,7.044,6.648,6.905,7.513,7.099,6.348,6.721,6.2,6.581,6.514,6.312,5.835,6.149,6.866
up,LOC134706828,NA,1.23,0.00724,5.421,6.934,7.401,6.672,7.061,7.565,6.017,4.616,5.499,5.123,4.448,5.957,5.89,5.773,7.531,4.839,5.693,5.073,5.601,7.119,6.966,5.694,7.152,6.772,7.13,5.032,4.733,7.03,5.86,7.961,6.936,5.508,5.538,4.776,5.389,5.184,4.955,5.644,4.785,5.484,5.001,5.675,5.459,5.072,5.383,6.058,5.165,6.015,4.697,5.229,5.903,5.187
up,LOC134706953,D-aspartate oxidase (DASOX) (DASPO) (DDO) (EC 1.4.3.1),1.228,6.38e-4,5.071,5.694,5.307,5.449,5.7,6.073,5.526,4.854,4.884,5.405,4.759,5.487,5.625,5.328,5.227,3.486,4.753,5.341,5.392,6.042,5.225,5.278,5.483,5.703,5.761,5.588,5.202,5.888,5.263,5.578,5.447,5.177,4.835,5.302,5.298,5.348,4.499,5.169,4.94,4.759,4.936,4.716,4.788,5.311,5.345,4.995,4.49,4.978,4.981,5.03,4.795,5.438
up,LOC134707977,Tubulin alpha-1 chain (EC 3.6.5.-),1.189,1.16e-7,6.464,7.082,6.327,6.426,6.431,6.824,6.111,5.161,5.499,5.859,5.359,5.701,6.441,5.581,4.954,5.093,5.632,5.601,6.383,5.967,6.384,7.396,5.51,6.447,6.708,6.764,6.399,6.867,6.4,5.79,6.084,6.365,5.511,5.601,6.161,5.742,5.864,5.991,5.695,6.278,5.626,5.866,5.339,5.589,5.714,6.217,5.435,5.624,5.441,5.944,5.761,5.52
up,LOC134683210,Reelin (EC 3.4.21.-),1.168,0.0118,5.549,5.787,6.118,5.842,5.444,4.945,6.71,4.987,5.813,4.589,6.044,5.487,6.396,5.356,6.154,5.223,5.139,5.188,4.686,4.928,4.85,5.2,4.928,5.28,3.486,5.628,5.249,5.439,5.172,5.812,4.972,5.9,6.024,5.925,5.474,5.348,5.015,5.027,5.196,5.717,5.176,5.389,5.716,4.951,5.085,4.806,3.486,4.626,5.353,5.55,5.129,4.87
up,LOC134700327,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9),1.165,0.00375,6.351,7.269,7.037,5.768,6.807,8.219,6.846,7.187,7.225,6.221,6.409,6.763,5.57,7.177,4.674,6.466,7.034,6.403,6.661,6.322,5.68,5.315,5.735,6.022,5.582,5.032,5.772,5.077,6.171,4.552,5.414,5.466,5.483,5.46,6.161,5.983,5.74,6.187,6.186,5.069,5.803,6.164,5.568,5.838,6.476,6.02,6.207,6.851,6.096,5.317,5.881,5.52
down,LOC134706872,Tubulin alpha-3 chain (EC 3.6.5.-) (Alpha-tubulin 3) [Cleaved into: Detyrosinated tubulin alpha-3 chain],-0.99,0.00375,9.171,7.769,8.478,7.749,7.537,7.733,6.733,7.565,6.872,8.624,7.54,7.226,8.5,9.17,7.504,7.712,7.254,9.254,8.494,9.365,9.409,8.894,9.611,9.328,8.494,8.864,8.449,8.397,9.849,6.793,8.545,6.625,8.59,6.776,6.137,8.583,7.33,7.341,6.186,7.831,7.486,6.928,8.435,9.041,9.125,9.156,7.727,8.587,8.724,9.921,9.38,9.467
down,LOC134714925,NA,-1.022,0.00977,5.025,5.09,5.096,4.973,5.121,3.486,4.516,4.854,5.289,5.405,5.701,4.953,5.542,5.114,6.634,5.138,5.091,4.946,4.936,5.564,5.395,5.638,6.023,5.193,5.374,5.503,5.249,5.296,5.914,6.695,3.486,4.303,4.621,4.632,5.2,4.922,4.892,4.805,4.839,4.759,3.486,4.972,5.4,5.485,5.345,5.156,5.513,5.434,5.441,5.477,5.515,6.401
down,LOC134723511,Piercer of microtubule wall 1 protein (Pierce1) (UPF0691 protein C9orf116 homolog),-1.025,0.0263,5.158,4.566,4.736,4.973,4.462,4.657,4.647,4.781,4.408,5.362,5.098,4.505,5.219,6.105,5.071,5.093,4.443,5.011,4.991,5.758,5.913,5.278,6.041,5.898,5.077,5.316,5.573,5.245,6.049,4.248,5.271,3.486,4.786,3.486,4.408,5.06,4.499,4.521,4.181,4.561,5.176,4.656,4.885,5.342,5.624,5.394,4.27,5.02,4.981,5.619,5.99,5.868
down,LOC134685015,ETS-related transcription factor Elf-5 (E74-like factor 5),-1.074,0.0315,4.977,3.486,4.561,4.696,3.486,4.599,4.816,3.486,4.642,5.123,5.435,3.486,4.927,5.21,6.793,4.717,3.486,4.946,3.486,4.928,4.912,5.072,5.335,5.049,5.919,3.486,4.992,5.136,5.107,7.825,4.87,3.486,4.621,4.903,4.513,4.922,4.277,4.6,4.535,3.486,3.486,4.972,5.274,4.817,4.984,4.904,4.665,4.889,4.849,5.918,4.85,5.255
down,LOC134706411,NA,-1.089,0.0102,4.402,4.794,4.254,4.198,3.981,4.473,4.584,4.922,4.408,4.497,4.759,4.844,4.878,5.271,4.674,4.717,5.091,4.309,4.444,5.013,4.715,4.875,5.426,5.361,4.226,3.486,4.657,4.638,5.234,5.293,4.757,4.303,4.341,4.247,4.288,4.464,4.824,4.6,4.668,4.975,4.425,4.716,4.885,4.768,5.222,5.363,4.742,4.791,4.413,5.229,4.613,4.667
down,LOC134720609,NA,-1.108,0.0334,5.278,6.007,4.153,4.306,5.578,4.139,4.516,6.364,5.622,5.446,4.884,4.419,6.318,4.614,7.116,5.949,5.352,5.561,5.23,4.031,4.368,4.308,4.42,4.35,4.434,5.503,4.933,4.311,5.453,4.613,5.572,4.303,4.152,4.11,3.953,4.922,5.707,5.076,4.604,5.484,4.425,5.482,5.932,6.065,5.853,5.484,5.622,5.404,5.523,5.891,4.998,6.358
down,LOC134695863,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),-1.132,0.0455,4.7,3.486,4.343,4.923,4.843,4.811,4.272,4.616,4.408,5.175,5.319,4.505,6.148,6.121,5.407,3.486,4.345,5.241,4.754,6.164,5.313,6.172,5.615,5.437,5.374,6.368,5.249,4.725,6.229,4.778,4.695,4.426,5.238,4.247,3.486,4.993,3.486,3.486,4.378,4.484,3.486,4.716,5.057,5.775,6.115,5.646,3.486,5.519,4.413,5.585,5.925,6.057
down,LOC134687228,Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10) (TgN(Imorpk)737Rpw),-1.251,0.0378,3.486,4.258,3.486,4.483,3.486,4.986,4.442,5.106,3.486,3.486,3.486,3.486,4.594,4.436,4.891,4.717,3.486,5.073,3.486,4.679,5.079,3.486,4.678,4.824,4.922,4.895,4.804,4.805,5.002,3.486,4.695,3.486,5.014,3.486,3.486,4.673,4.591,3.486,4.378,4.561,4.936,3.486,4.561,4.864,4.68,4.639,4.943,4.739,5.042,5.083,4.901,4.87
down,LOC134708396,NA,-1.259,0.0462,4.563,3.486,4.681,3.486,3.486,3.486,4.516,3.486,4.493,3.486,3.486,3.486,4.717,4.763,3.486,4.415,3.486,3.486,4.612,3.486,4.785,4.875,4.678,3.486,4.976,3.486,3.486,4.434,5.172,4.335,3.486,4.627,3.486,3.486,3.486,4.337,4.499,3.486,3.486,4.698,4.936,3.486,4.788,4.716,4.872,4.806,4.665,4.934,4.917,4.974,5.129,4.773
down,LOC134718629,"Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) [Cleaved into: Macrophage-expressed gene 1 protein, processed form]",-1.262,0.0205,5.158,4.374,5.17,4.816,4.336,5.24,5.311,4.702,4.884,5.069,6.044,4.953,5.89,4.763,6.13,5.902,5.041,5.677,5.313,6.113,5.68,3.486,6.422,5.642,4.434,5.911,4.124,5.98,5.348,7.112,5.447,3.486,5.565,4.776,4.288,4.464,4.824,4.434,4.055,5.635,3.486,5.141,4.561,4.951,6.476,5.857,6.207,5.917,4.697,6.249,4.385,5.493
down,LOC134692032,NA,-1.27,0.0359,4.82,4.475,4.343,4.198,4.671,4.538,3.486,4.295,3.486,4.822,3.486,4.323,4.878,4.666,5.601,4.415,3.486,4.876,5.092,5.013,4.558,5.116,4.733,4.537,4.805,4.739,4.574,4.805,5.263,4.248,4.757,3.486,4.341,4.11,3.486,4.464,4.277,4.225,3.89,4.306,3.486,4.278,3.486,4.864,5.085,4.995,4.129,4.684,4.981,5.891,5.388,4.915
down,LOC134724944,NA,-1.272,0.014,6.597,6.511,4.974,4.399,5.293,5.173,4.272,6.105,5.707,5.703,8.037,5.644,6.318,5.812,5.77,7.015,5.632,7.037,6.29,6.164,5.13,5.943,8.267,6.878,5.411,6.435,4.87,7.342,8.324,9.456,6.891,5.121,5.825,6.387,6.888,5.348,6.031,5.076,4.839,5.113,5.001,6.409,5.892,5.817,7,5.813,7.436,6.501,6.841,7.501,6.357,6.255
down,LOC134720952,Hemocyte protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Hemocyte transglutaminase) (TGase),-1.294,6.87e-5,5.694,4.794,5.693,4.816,4.991,5.064,4.961,5.106,4.884,6.33,4.884,5.099,5.752,6.151,3.486,5.376,5.312,6.29,5.889,6.096,6.016,5.873,6.351,5.762,5.843,5.628,5.422,5.566,6.72,4.827,6.043,4.936,5.689,3.486,3.486,5.624,3.486,3.486,4.839,4.975,5.063,4.716,6.118,6.404,6.24,6.217,5.113,5.624,5.776,6.163,6.204,6.143
down,LOC134714537,NA,-1.298,4e-8,5.199,5.486,4.736,5.021,5.49,5.303,5.438,5.214,5.499,5.735,6.624,5.552,5.776,5.712,6.867,6.082,5.464,5.749,6.036,5.867,6.089,6.03,6.229,5.818,5.869,6.345,5.537,5.525,6.284,7.622,6.163,4.867,5.271,5.119,5.2,3.486,6.474,4.805,5.439,5.744,5.001,5.649,6.371,5.975,6.408,5.567,6.207,5.573,6.398,6.021,5.881,6.255
down,LOC134684994,"ATP-dependent RNA helicase DEAH12, chloroplastic (EC 3.6.4.13)",-1.308,0.00395,4.977,4.475,4.736,4.56,4.573,4.325,4.442,4.702,4.708,4.497,6.09,4.214,4.973,4.851,6.716,5.513,4.531,5.188,4.346,5.483,4.715,5.519,5.537,5.237,5.17,4.554,4.574,4.88,5.896,6.293,4.305,4.303,4.341,4.361,4.974,4.575,5.015,4.337,4.286,5.069,4.425,5.017,5.339,4.329,5.035,4.753,5.847,5.21,4.917,5.585,4.901,5.717
down,LOC134692001,NA,-1.309,0.0407,4.875,4.566,4.422,3.486,4.761,4.657,3.486,4.295,3.486,5.069,3.486,4.323,4.878,4.851,6.003,4.32,3.486,4.876,5.23,5.131,4.64,5.159,4.678,4.617,4.976,4.739,4.483,4.805,5.402,4.335,4.695,3.486,4.42,4.11,3.486,4.337,4.277,4.225,3.89,4.306,3.486,4.278,3.486,4.908,5.383,5.078,4.27,4.791,5.042,5.996,5.453,5.04
down,LOC134711996,Calmodulin (CaM),-1.312,0.021,4.634,4.794,4.561,4.306,4.573,3.486,4.045,3.486,3.486,5.069,4.349,4.082,5.103,5.241,3.486,4.501,3.486,4.876,4.444,4.971,4.912,5.026,4.492,4.824,4.674,5.032,4.733,4.725,4.927,3.486,4.815,3.486,4.883,3.486,3.486,3.486,3.486,3.486,3.486,4.199,4.303,4.049,4.561,4.605,5.42,4.856,4.27,4.841,5.155,5.083,5.284,5.078
down,LOC134708146,NA,-1.411,0.0135,9.913,8.343,8.646,6.562,6.362,8.468,6.165,3.486,6.066,9.309,6.876,7.915,9.699,9.769,9.21,7.845,3.486,10.798,8.978,9.803,3.486,8.683,9.123,8.495,9.035,9.155,7.782,9.696,10.503,6.904,8.827,3.486,9.46,5.667,4.842,9.194,6.81,7.065,5.27,6.74,3.486,7.047,7.638,10.728,10.565,9.855,6.804,10.637,10.312,9.456,10.671,10.106
down,LOC134711882,Calmodulin (CaM),-1.436,6.38e-4,6.525,5.726,6.135,5.347,7.172,6.824,5.376,5.57,5.562,6.45,6.09,5.308,6.58,8.456,6.491,5.263,4.878,7.524,6.978,7.887,7.424,7.782,7.644,7.371,7.342,7.384,7.125,6.803,8.314,6.216,7.021,4.793,6.744,5.383,4.77,6.188,5.408,5.788,4.987,5.892,6.387,5.675,6.792,7.798,7.204,8.064,5.657,7.291,6.459,8.4,8.278,7.875
down,LOC134708397,Sacsin (DnaJ homolog subfamily C member 29),-1.436,0.00937,4.402,4.566,4.623,4.198,4.336,4.599,4.915,3.486,4.937,6.175,5.896,4.844,5.103,5.009,8.794,6.367,4.531,6.424,5.23,6.06,5.27,6.246,5.802,5.673,6.929,6.675,5.381,5.393,6.31,5.973,6.043,3.486,6.292,4.11,5.432,4.922,6.082,4.673,4.839,6.129,4.713,4.524,5.619,4.817,5.457,6.266,5.847,4.684,5.902,5.971,5.786,6.481
down,LOC134681212,NA,-1.462,0.0227,4.977,5.037,4.343,4.306,5.535,3.865,4.168,4.854,5.126,5.224,5.435,5.383,4.05,5.887,10.286,4.948,4.685,6.115,4.818,4.835,5.772,5.774,5.947,4.885,5.869,5.705,4.804,5.645,6.31,8.391,4.695,5.96,5.483,4.903,5.035,5.348,5.45,4.922,4.668,5.635,5.588,7.406,5.716,4.817,3.486,5.298,5.847,5.812,6.172,5.229,6.51,6.795
down,LOC134716407,Sacsin (DnaJ homolog subfamily C member 29),-1.538,4.8e-4,5.942,5.486,5.952,5.154,5.739,5.477,4.867,5.048,5.211,6.82,6.713,4.953,5.868,6.552,9.132,6.35,5.499,6.845,5.043,7.324,5.711,6.072,6.408,6.672,7.191,5.546,5.971,5.98,7.115,7.344,5.63,5.588,6.323,5.016,4.513,5.779,6.004,5.027,4.728,5.744,5.28,6.551,6.992,6.26,7.253,6.095,5.904,6.405,5.353,7.235,7.289,7.836
down,LOC134706903,Putative ferric-chelate reductase 1 homolog (DmSDR2) (EC 1.-.-.-),-1.999,3.32e-4,5.315,4.258,5.134,4.696,4.919,3.486,3.486,4.987,4.884,6.151,4.884,5.308,4.878,6.529,5.948,4.894,4.611,5.914,5.23,5.426,5.026,5.116,5.615,5.237,4.922,4.966,3.486,3.486,5.348,3.486,5.233,4.532,5.665,3.486,3.486,5.447,3.486,4.741,4.668,4.975,4.867,4.826,6.704,5.311,6.115,6.606,5.351,5.175,6.147,5.944,6.052,5.868
down,LOC134696041,NA,-2.016,0.0149,4.402,4.475,3.486,3.486,3.486,4.139,3.486,3.486,3.486,5.829,3.486,4.214,5.391,4.715,3.486,4.78,4.233,6.73,5.781,5.303,4.64,5.965,5.396,5.361,5.517,5.032,4.381,5.136,4.609,4.671,4.398,3.486,4.253,3.486,3.486,4.464,3.486,3.486,3.486,3.486,3.486,4.368,3.486,5.109,5.624,4.355,4.388,5.278,6.07,6.094,5.81,4.482
down,LOC134712116,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),-2.177,0.0027,4.927,3.486,5.206,4.399,3.486,4.402,3.486,3.486,4.205,5.123,4.349,4.505,4.827,4.715,5.601,4.717,3.486,5.85,5.092,5.054,5.802,5.666,6.095,5.924,6.342,5.588,4.87,5.192,5.203,4.613,5.066,4.627,5.455,3.486,4.77,5.296,3.486,4.6,4.46,3.486,4.713,4.368,4.885,5.614,6.816,5.696,4.742,5.434,6.147,5.477,6.373,5.35
